in s,C1 in V
-5.9654246E-01,-1.88965E+00
-5.9653325E-01,-1.89941E+00
-5.9652403E-01,-1.87988E+00
-5.9651482E-01,-1.87012E+00
-5.9650560E-01,-1.88965E+00
-5.9649638E-01,-1.88965E+00
-5.9648717E-01,-1.88965E+00
-5.9647795E-01,-1.88965E+00
-5.9646874E-01,-1.88965E+00
-5.9645952E-01,-1.86035E+00
-5.9645030E-01,-1.86035E+00
-5.9644109E-01,-1.91895E+00
-5.9643187E-01,-1.86035E+00
-5.9642266E-01,-1.87988E+00
-5.9641344E-01,-1.87988E+00
-5.9640422E-01,-1.88965E+00
-5.9639501E-01,-1.86035E+00
-5.9638579E-01,-1.86035E+00
-5.9637658E-01,-1.87012E+00
-5.9636736E-01,-1.87988E+00
-5.9635814E-01,-1.87012E+00
-5.9634893E-01,-1.86035E+00
-5.9633971E-01,-1.87012E+00
-5.9633050E-01,-1.87012E+00
-5.9632128E-01,-1.87012E+00
-5.9631206E-01,-1.86035E+00
-5.9630285E-01,-1.85059E+00
-5.9629363E-01,-1.88965E+00
-5.9628442E-01,-1.87012E+00
-5.9627520E-01,-1.87988E+00
-5.9626598E-01,-1.88965E+00
-5.9625677E-01,-1.88965E+00
-5.9624755E-01,-1.86035E+00
-5.9623834E-01,-1.88965E+00
-5.9622912E-01,-1.87988E+00
-5.9621990E-01,-1.83105E+00
-5.9621069E-01,-1.86035E+00
-5.9620147E-01,-1.86035E+00
-5.9619226E-01,-1.86035E+00
-5.9618304E-01,-1.86035E+00
-5.9617382E-01,-1.88965E+00
-5.9616461E-01,-1.86035E+00
-5.9615539E-01,-1.84082E+00
-5.9614618E-01,-1.87012E+00
-5.9613696E-01,-1.86035E+00
-5.9612774E-01,-1.86035E+00
-5.9611853E-01,-1.84082E+00
-5.9610931E-01,-1.85059E+00
-5.9610010E-01,-1.86035E+00
-5.9609088E-01,-1.89941E+00
-5.9608166E-01,-1.87012E+00
-5.9607245E-01,-1.91895E+00
-5.9606323E-01,-1.87012E+00
-5.9605402E-01,-1.87988E+00
-5.9604480E-01,-1.87988E+00
-5.9603558E-01,-1.88965E+00
-5.9602637E-01,-1.86035E+00
-5.9601715E-01,-1.88965E+00
-5.9600794E-01,-1.87988E+00
-5.9599872E-01,-1.88965E+00
-5.9598950E-01,-1.87988E+00
-5.9598029E-01,-1.87988E+00
-5.9597107E-01,-1.86035E+00
-5.9596186E-01,-1.86035E+00
-5.9595264E-01,-1.88965E+00
-5.9594342E-01,-1.87012E+00
-5.9593421E-01,-1.87012E+00
-5.9592499E-01,-1.86035E+00
-5.9591578E-01,-1.86035E+00
-5.9590656E-01,-1.87012E+00
-5.9589734E-01,-1.87012E+00
-5.9588813E-01,-1.88965E+00
-5.9587891E-01,-1.87012E+00
-5.9586970E-01,-1.87012E+00
-5.9586048E-01,-1.86035E+00
-5.9585126E-01,-1.84082E+00
-5.9584205E-01,-1.85059E+00
-5.9583283E-01,-1.87988E+00
-5.9582362E-01,-1.87012E+00
-5.9581440E-01,-1.88965E+00
-5.9580518E-01,-1.87012E+00
-5.9579597E-01,-1.87988E+00
-5.9578675E-01,-1.86035E+00
-5.9577754E-01,-1.87988E+00
-5.9576832E-01,-1.88965E+00
-5.9575910E-01,-1.86035E+00
-5.9574989E-01,-1.86035E+00
-5.9574067E-01,-1.88965E+00
-5.9573146E-01,-1.86035E+00
-5.9572224E-01,-1.88965E+00
-5.9571302E-01,-1.85059E+00
-5.9570381E-01,-1.88965E+00
-5.9569459E-01,-1.84082E+00
-5.9568538E-01,-1.86035E+00
-5.9567616E-01,-1.86035E+00
-5.9566694E-01,-1.87012E+00
-5.9565773E-01,-1.87988E+00
-5.9564851E-01,-1.84082E+00
-5.9563930E-01,-1.88965E+00
-5.9563008E-01,-1.87012E+00
-5.9562086E-01,-1.86035E+00
-5.9561165E-01,-1.86035E+00
-5.9560243E-01,-1.87012E+00
-5.9559322E-01,-1.88965E+00
-5.9558400E-01,-1.86035E+00
-5.9557478E-01,-1.88965E+00
-5.9556557E-01,-1.87988E+00
-5.9555635E-01,-1.88965E+00
-5.9554714E-01,-1.87988E+00
-5.9553792E-01,-1.88965E+00
-5.9552870E-01,-1.86035E+00
-5.9551949E-01,-1.87012E+00
-5.9551027E-01,-1.88965E+00
-5.9550106E-01,-1.87988E+00
-5.9549184E-01,-1.86035E+00
-5.9548262E-01,-1.87988E+00
-5.9547341E-01,-1.87012E+00
-5.9546419E-01,-1.88965E+00
-5.9545498E-01,-1.86035E+00
-5.9544576E-01,-1.85059E+00
-5.9543654E-01,-1.86035E+00
-5.9542733E-01,-1.88965E+00
-5.9541811E-01,-1.83105E+00
-5.9540890E-01,-1.84082E+00
-5.9539968E-01,-1.87012E+00
-5.9539046E-01,-1.86035E+00
-5.9538125E-01,-1.85059E+00
-5.9537203E-01,-1.88965E+00
-5.9536282E-01,-1.87012E+00
-5.9535360E-01,-1.87012E+00
-5.9534438E-01,-1.88965E+00
-5.9533517E-01,-1.86035E+00
-5.9532595E-01,-1.85059E+00
-5.9531674E-01,-1.85059E+00
-5.9530752E-01,-1.88965E+00
-5.9529830E-01,-1.87012E+00
-5.9528909E-01,-1.87988E+00
-5.9527987E-01,-1.87988E+00
-5.9527066E-01,-1.85059E+00
-5.9526144E-01,-1.88965E+00
-5.9525222E-01,-1.87012E+00
-5.9524301E-01,-1.87012E+00
-5.9523379E-01,-1.87012E+00
-5.9522458E-01,-1.84082E+00
-5.9521536E-01,-1.87988E+00
-5.9520614E-01,-1.85059E+00
-5.9519693E-01,-1.88965E+00
-5.9518771E-01,-1.86035E+00
-5.9517850E-01,-1.86035E+00
